User ID,Group,Outcome
1,Control,0
2,Control,1
3,Control,0
4,Control,0
5,Control,0
6,Control,0
7,Control,0
8,Control,0
9,Control,0
10,Control,0
11,Control,0
12,Control,1
13,Control,0
14,Control,0
15,Control,0
16,Control,0
17,Control,0
18,Control,0
19,Control,0
20,Control,0
21,Control,0
22,Control,0
23,Control,0
24,Control,0
25,Control,0
26,Control,0
27,Control,0
28,Control,0
29,Control,0
30,Control,0
31,Control,0
32,Control,0
33,Control,0
34,Control,1
35,Control,1
36,Control,0
37,Control,0
38,Control,0
39,Control,0
40,Control,0
41,Control,0
42,Control,0
43,Control,0
44,Control,1
45,Control,0
46,Control,0
47,Control,0
48,Control,0
49,Control,0
50,Control,0
51,Control,1
52,Control,0
53,Control,1
54,Control,0
55,Control,0
56,Control,1
57,Control,0
58,Control,0
59,Control,0
60,Control,0
61,Control,0
62,Control,0
63,Control,0
64,Control,0
65,Control,0
66,Control,0
67,Control,0
68,Control,0
69,Control,0
70,Control,1
71,Control,0
72,Control,0
73,Control,0
74,Control,0
75,Control,0
76,Control,0
77,Control,0
78,Control,0
79,Control,0
80,Control,0
81,Control,0
82,Control,0
83,Control,0
84,Control,0
85,Control,0
86,Control,0
87,Control,0
88,Control,0
89,Control,0
90,Control,0
91,Control,0
92,Control,0
93,Control,0
94,Control,0
95,Control,0
96,Control,0
97,Control,0
98,Control,0
99,Control,0
100,Control,0
101,Control,0
102,Control,0
103,Control,0
104,Control,0
105,Control,1
106,Control,0
107,Control,0
108,Control,0
109,Control,0
110,Control,0
111,Control,0
112,Control,0
113,Control,1
114,Control,0
115,Control,0
116,Control,0
117,Control,0
118,Control,0
119,Control,0
120,Control,0
121,Control,0
122,Control,0
123,Control,0
124,Control,0
125,Control,0
126,Control,0
127,Control,0
128,Control,0
129,Control,0
130,Control,0
131,Control,0
132,Control,0
133,Control,0
134,Control,0
135,Control,1
136,Control,0
137,Control,0
138,Control,0
139,Control,0
140,Control,1
141,Control,1
142,Control,0
143,Control,0
144,Control,0
145,Control,0
146,Control,0
147,Control,0
148,Control,0
149,Control,0
150,Control,0
151,Control,1
152,Control,0
153,Control,0
154,Control,0
155,Control,1
156,Control,0
157,Control,0
158,Control,0
159,Control,0
160,Control,0
161,Control,0
162,Control,0
163,Control,0
164,Control,0
165,Control,0
166,Control,0
167,Control,0
168,Control,0
169,Control,0
170,Control,0
171,Control,0
172,Control,0
173,Control,0
174,Control,0
